"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
93,"15:39:25",8.868,9.133,8.389,1.961,2.553,5.524,8.500,3.228,0.867,1.217
52,"15:39:25",1.998,4.367,0.907,4.734,7.792,7.285,8.477,0.582,4.838,8.733
167,"15:39:25",3.996,8.274,0.324,5.023,3.854,3.815,4.772,9.963,6.131,0.163
157,"15:39:25",9.677,0.988,1.985,0.473,8.942,1.951,4.724,2.619,0.190,6.866
4,"15:39:25",1.343,9.936,0.802,6.642,0.254,2.303,1.725,3.310,1.047,9.632
111,"15:39:25",6.990,8.672,9.418,1.559,5.216,7.970,4.138,2.892,3.764,3.796
193,"15:39:25",3.333,1.513,8.521,7.906,7.704,5.226,8.220,7.736,7.259,6.851
47,"15:39:25",3.000,5.424,5.180,1.933,8.461,2.787,3.409,6.274,5.546,4.579
43,"15:39:25",9.879,9.579,2.809,7.990,1.076,8.777,4.484,1.850,3.404,8.927
0,"15:39:25",1.311,4.661,3.735,2.020,7.342,4.455,7.790,0.415,2.642,6.353
