batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
158,15:59:01,4.21,4.093,1.634,5.41,1.079,7.513,8.484,1.564,3.019,7.784
146,15:59:01,2.528,3.335,6.972,4.369,4.239,3.65,0.411,1.505,1.52,0.24
0,15:59:01,9.369,1.723,6.771,3.206,0.177,3.85,4.601,5.35,0.731,6.546
144,15:59:01,9.142,2.846,6.771,8.497,3.097,9.02,6.922,6.597,8.316,3.094
91,15:59:01,2.787,6.374,3.09,8.878,8.974,5.492,3.319,5.137,3.958,8.798
90,15:59:01,4.279,6.988,6.929,0.041,1.709,7.799,6.021,8.816,2.751,9.204
55,15:59:01,9.937,7.747,9.107,1.337,5.704,6.071,1.844,7.345,9.631,9.196
92,15:59:01,1.743,1.494,1.345,9.104,3.502,1.481,6.117,3.892,2.679,2.326
74,15:59:01,5.009,1.706,7.851,7.911,2.982,3.85,2.712,4.236,2.27,0.885
121,15:59:01,0.468,9.936,5.824,8.086,4.82,4.127,9.141,7.751,6.907,7.363
