"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
18,"15:39:28",4.851,5.702,9.801,2.327,2.932,3.565,0.005,8.810,5.796,2.254
114,"15:39:28",2.229,5.869,2.912,7.258,8.395,4.954,6.390,5.967,0.646,1.492
168,"15:39:28",1.305,1.140,8.197,6.447,5.936,3.662,3.751,2.655,5.862,1.124
32,"15:39:28",2.278,0.533,4.165,9.422,5.483,0.132,7.817,5.613,4.522,4.000
115,"15:39:28",5.938,6.866,8.079,8.459,7.393,7.439,7.214,2.881,0.646,4.452
135,"15:39:28",9.202,3.694,0.942,9.872,2.630,3.863,8.072,1.121,5.266,6.641
197,"15:39:28",3.809,2.167,4.568,6.792,9.790,6.988,8.203,4.393,4.255,6.041
199,"15:39:28",8.380,7.787,0.425,0.013,0.923,8.906,7.447,4.891,0.895,9.190
80,"15:39:28",5.913,4.534,1.470,0.438,7.713,5.499,3.229,7.111,8.197,5.310
36,"15:39:28",9.549,4.751,6.164,2.827,8.636,2.592,4.987,5.842,2.168,2.963
