batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
7,15:58:57,2.9,5.335,9.752,8.255,3.907,0.125,3.144,0.788,9.781,6.402
28,15:58:57,2.22,7.998,4.298,7.669,6.768,0.091,3.193,7.658,0.443,6.561
183,15:58:57,2.956,1.235,6.273,1.307,0.734,0.72,9.296,5.094,1.09,1.933
197,15:58:57,9.008,6.785,3.863,3.232,7.709,8.111,9.466,5.937,9.206,3.583
66,15:58:57,3.327,0.468,6.721,6.456,2.788,5.312,2.667,2.376,4.492,9.039
105,15:58:57,1.329,6.96,1.564,8.958,5.156,6.61,7.443,1.177,0.748,8.743
184,15:58:57,9.303,0.209,4.377,6.155,6.255,7.054,1.866,1.802,0.303,6.943
57,15:58:57,7.904,5.011,7.685,8.331,6.886,9.989,7.401,2.403,5.546,6.177
107,15:58:57,3.631,1.766,9.637,7.979,0.798,8.22,7.718,0.554,5.879,2.375
73,15:58:57,9.484,9.816,9.252,7.01,6.427,6.611,9.544,0.515,4.205,1.884
