"batch_id","timestamp","reading1","reading2","reading3","reading4","reading5","reading6","reading7","reading8","reading9","reading10"
106,"15:39:47",5.42,0.187,7.465,1.441,8.978,1.176,0.247,5.497,9.218,2.915
190,"15:39:47",9.689,2.256,1.743,5.957,6.704,2.579,9.856,0.147,0.091,9.443
182,"15:39:47",5.812,7.05,6.029,3.191,8.21,2.209,5.52,8.007,1.542,5.782
179,"15:39:47",6.47,8.669,2.411,1.733,8.742,7.666,7.524,8.521,2.419,9.658
14,"15:39:47",6.737,6.516,4.683,4.849,9.373,7.793,6.699,8.446,5.944,0.56
168,"15:39:47",1.157,8.39,5.369,9.62,5.31,4.304,7.124,4.703,8.319,0.674
73,"15:39:47",0.951,7.171,1.402,2.047,0.746,9.734,2.503,7.133,1.445,6.459
131,"15:39:47",6.15,7.065,7.872,9.859,0.768,4.914,7.932,0.793,2.783,8.077
195,"15:39:47",3.731,8.412,4.467,6.01,9.872,1.724,7.083,5.527,1.34,2.695
24,"15:39:47",9.195,9.618,9.237,3.169,4.663,5.712,5.57,9.407,7.572,5.614
