batch_id,timestamp,reading1,reading2,reading3,reading4,reading5,reading6,reading7,reading8,reading9,reading10
132,15:59:00,8.883,1.903,1.164,8.621,4.286,8.166,4.649,6.37,4.71,7.439
43,15:59:00,2.451,9.5,6.303,0.194,7.371,7.76,1.106,3.043,6.251,9.32
184,15:59:00,0.266,4.101,4.147,2.731,2.816,0.568,8.275,7.786,0.821,2.893
119,15:59:00,1.609,6.331,6.044,2.181,4.25,6.293,2.558,8.932,3.538,0.716
23,15:59:00,7.922,7.398,3.998,8.273,9.927,0.447,8.156,1.947,4.091,3.859
82,15:59:00,3.541,1.981,3.088,7.27,2.57,2.502,1.377,9.406,2.25,1.589
187,15:59:00,9.779,0.863,0.425,5.041,8.342,8.817,1.85,8.459,7.299,6.133
9,15:59:00,3.284,7.373,2.93,6.411,9.348,6.108,1.438,1.02,0.896,0.789
97,15:59:00,9.665,6.721,8.298,0.428,7.436,4.942,6.463,5.815,0.672,8.758
109,15:59:00,7.722,9.906,1.681,7.817,7.722,4.748,6.742,5.942,3.732,8.493
